field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,28,-0.075956,0.103854,0.020344,0.004307,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,29,-0.137256,0.065959,0.017744,0.010616,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,30,-0.116744,0.1217,-0.003233,0.070284,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,31,0.255689,0.082616,0.001622,0.015035,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,32,0.477611,0.102418,0.008267,0.0116,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,33,-0.192789,0.101116,0.049578,0.004334,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,34,-0.396378,0.073438,0.081711,0.010822,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,35,-0.744033,0.096429,0.935589,0.061045,9
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.8783,0.0,-1.3135,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.8662,0.0,0.1621,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,0.1471,0.0,-0.1066,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.0801,0.0,0.421,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,-0.5274,0.0,0.5758,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,-0.9604,0.0,0.4915,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,0.1909,0.0,-0.0098,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,-0.5963,0.0,-0.5119,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.2535,0.0,0.0992,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,0.0993,0.0,0.4232,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,0.4331,0.0,0.5919,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,2.0909,0.0,0.3222,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,-0.7095,0.0,-0.0871,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,-0.0525,0.0,-0.1183,0.0,1
