field,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,8,-0.028857,0.056562,-0.014143,0.028389,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.232357,0.092283,-0.004457,0.011168,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,10,-0.011,0.075895,0.013071,0.013798,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,11,-0.237314,0.064688,0.016671,0.034433,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,12,-0.073129,0.209885,-0.040271,0.0263,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,13,0.129957,0.063594,-0.024271,0.017687,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,14,0.186743,0.102911,-0.021229,0.016381,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-0.009129,0.117096,0.018543,0.008019,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,16,0.7368,0.134008,0.024629,0.014693,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,17,0.725471,0.157745,0.043214,0.019922,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,18,-0.676429,0.086035,-0.028971,0.016107,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,19,-1.582771,0.0906,-0.015243,0.013197,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,20,-0.534057,0.132871,0.009443,0.012601,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,21,0.218086,0.122707,0.054029,0.015909,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,22,0.448086,0.085931,0.064543,0.013821,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,23,0.456129,0.074553,0.038243,0.029136,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,24,1.186671,0.146436,-0.015029,0.02457,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,25,-1.587471,0.11034,-0.010657,0.015656,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,26,-1.471871,0.087201,0.011471,0.009874,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,27,0.176614,0.147191,0.038486,0.001451,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,28,0.162114,0.030521,0.0176,0.002325,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,29,0.3099,0.065472,0.0194,0.007227,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,30,-0.273071,0.064059,-0.027486,0.010999,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,31,-0.312343,0.036279,0.008571,0.012156,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,32,0.671614,0.095817,0.010714,0.010289,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,33,0.444071,0.108233,0.0461,0.002377,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,34,0.370571,0.112988,0.085043,0.005779,7
REF_0236-28,closepack36,920.5,0.9,45.0,-45.0,lcal,35,0.428386,0.105021,1.025257,0.041884,7
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.07678,0.08383,-1.2861,0.024643,5
