# dQ/dU per-beam mean correction factors
# Generated  : 2026-03-20 15:00
# Source CSV : /Users/raj030/DATA/reffield-average/leakage_master_table.csv
# Selection  : manifest indices 14–49, excl '24-29'
# SB_REFs    : 30 contributing observations
# Footprint  : closepack36
# Weights ID : 5241
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : 0.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   footprint   beam footprint name (from schedblock metadata)
#   wt_id       ODC weights ID (weights.id)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     footprint          wt_id  freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        34    -0.4064    0.0716    +0.0848    0.0058      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        35    -0.7386    0.1016    +0.9502    0.0455      8

REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        0    +0.7216    0.2668    -1.3068    0.0345      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        1    +0.4316    0.0663    +0.1767    0.0074      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        2    -0.7208    0.1431    -0.1014    0.0330      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        3    -0.0390    0.1189    +0.4165    0.0120      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        4    +0.4268    0.1258    +0.6004    0.0104      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        5    -0.1181    0.0780    +0.5010    0.0528      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        6    +0.5167    0.0904    -0.0255    0.0192      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        7    +0.3228    0.0599    -0.4937    0.0136      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        8    -0.0156    0.0537    +0.0465    0.0296      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        9    -0.2315    0.1021    +0.4203    0.0102      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       10    -0.0174    0.0767    +0.5738    0.0164      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       11    -0.2625    0.0583    +0.4340    0.0674      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       12    -0.0575    0.2120    -0.0198    0.0218      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       13    +0.1307    0.0617    -0.0762    0.0232      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       14    +0.1569    0.0839    +0.0818    0.0347      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       15    -0.0458    0.1140    +0.0410    0.0057      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       16    +0.7181    0.1255    +0.2723    0.0135      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       17    +0.7129    0.1417    +0.0093    0.0266      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       18    -0.6558    0.0910    +0.1361    0.0203      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       19    -1.6189    0.0973    +0.2190    0.0148      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       20    -0.5649    0.1276    -0.0999    0.0086      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       21    +0.1994    0.1226    +0.0706    0.0166      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       22    +0.4404    0.0810    -0.2051    0.0063      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       23    +0.4438    0.0895    +0.0230    0.0412      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       24    +1.2203    0.1446    +0.0534    0.0213      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       25    -1.5812    0.1134    +0.4801    0.0226      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       26    -1.4807    0.0912    +0.1992    0.0129      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       27    +0.1827    0.1386    -0.1377    0.0077      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       28    +0.1728    0.0329    -0.8779    0.0204      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       29    +0.3246    0.0661    -0.0104    0.0048      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       30    -0.2673    0.0614    +0.1030    0.0232      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       31    -0.3118    0.0413    -0.1462    0.0347      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       32    +0.6933    0.0967    -0.1721    0.0209      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       33    +0.4417    0.1102    -0.3087    0.0143      7
